ID,Codice Sito,Nome,Gestore,Indirizzo,Longitudine,Latitudine,Quota al suolo,Postazione,Altezza antenna da suolo
824,PD 2094 C,SEMINARIO,H3G,RIVIERA T. CAMPOSAMPIERO  PADOVA (PD),11.86993733829762,45.40212990957195,13,Al Suolo,24.65,
842,PD 4326 A,PIAZZOLA SUL BRENTA,H3G,Via Dante  PIAZZOLA SUL BRENTA (PD),11.773576057496763,45.541225030981224,27,Al Suolo,30.85,
846,PD_MONTEGALLO,MONTEGALLO,TELECOM,null  GALZIGNANO TERME (PD),11.706178770889302,45.298085998004034,381,Al Suolo,17.5,
858,PD012U,Vescovado,WIND,Via Corte S. Clemente  PADOVA (PD),11.874933571999943,45.40892624662377,16.8,Su edificio,20.65,
880,PD048,VILLAFRANCA-PIAZZOLA,WIND,Strada Provinciale n� 75  PIAZZOLA SUL BRENTA (PD),11.796727960994392,45.50311567968598,21.6,Al Suolo,35.45,
881,PD05,PIAZZOLA SUL BRENTA,TELECOM,VIA BELLUDI  - 35016 PIAZZOLA SUL BRENTA (PD)  PIAZZOLA SUL BRENTA (PD),11.786136722288635,45.54085607915845,25.9,Altro,9.25,
939,PD0B,PD VIA SIGNORONI,TELECOM,Via Comino  PADOVA (PD),11.885854671686218,45.389513511462916,10.6,Al Suolo,28.15,
945,PD101,Teolo,WIND,Via Marconi  TEOLO (PD),11.679367400627138,45.342141985307244,137,Altro,32.2,
975,PD160,RESCHIGLIANO,WIND,VIA LOVATI - RESCHIGLIANO (PD)  CAMPODARSEGO (PD),11.934329244861765,45.478102324380515,11.5,Al Suolo,25,
1000,PD-1674B,Cittadella,VODAFONE,viale dello Sport  CITTADELLA (PD),11.782155130223758,45.644854025347435,46.2,Altro,31,
1023,PD1C,CAMPOSAMPIERO 2,TELECOM,S.S. 307 c/o centrale ENEL  LOREGGIA (PD),11.937603142762734,45.57834655231797,24,Su palo,27,
1024,PD1D,PIOMBINO DESE 2,TELECOM,via dei Cipressi c/o ecocentro frazione Torreselle  PIOMBINO DESE (PD),12.024894082251146,45.62769720269253,24.6,Altro,31.7,
1046,PD2108A,Via Corrado,H3G,Via Corrado  PADOVA (PD),11.903962835445938,45.40358245286581,10,Su edificio,30.65,
1050,PD2199A,MAKALLE',H3G,Via P. Bronzetti 62  PADOVA (PD),11.864399824452859,45.413151773063916,12.5,Su edificio,27.7,
1054,PD2268B,MEJANIGA,H3G,Via Manin  VIGODARZERE (PD),11.896611351076317,45.45743568736264,18,Altro,34.95,
1059,PD2293A,PADOVA PAPADOPOLI,H3G,Via Salboro  PADOVA (PD),11.878004230454644,45.36599291384025,9.3,Altro,25.95,
1081,PD2406B,RUBANO,H3G,Via Bernardi  RUBANO (PD),11.795771017788102,45.423027060506975,15.5,Altro,29.45,
1088,PD2516A,BELLUDI,H3G,Via Belludi  PADOVA (PD),11.879561373073052,45.40167142275017,13.8,Su edificio,19.15,
1113,PD2529C,VIA PALESTRO,H3G,Via Palestro c/o Cinema Cristallo  PADOVA (PD),11.863880265854345,45.40818702472276,12.7,Su edificio,16.75,
1117,PD2531C,CHIESANUOVA,H3G,Via Chiesanuova 40  PADOVA (PD),11.8463698789598,45.414233022176596,11.4,Altro,26.4,
1127,PD2535-C,TEOLO,VODAFONE,Via Marconi c/o campo sportivo comunale  TEOLO (PD),11.678557749605737,45.342296014289374,137,Altro,32.2,
1162,PD32_T,SOLESINO,TELECOM,VIA VALLI PIANTA  - 35047 SOLESINO (PD)  SOLESINO (PD),11.750874088922833,45.17231774563204,3.8,Altro,33.15,
1166,PD34U,PIOMBINO DESE,TELECOM,via Pozzetto c/o impianti sportivi comunali  PIOMBINO DESE (PD),11.993054045415542,45.60317130747895,24,Su palo,32.9,
1169,PD3642A,RADIO ITALIA UNO,H3G,Via Della Navigazione Interna  9  PADOVA (PD),11.921844318041849,45.41011110349965,10.1,Al Suolo,24.6,
1172,PD3690A,VIGODARZERE,H3G,Via Querini  80  PADOVA (PD),11.881061305879024,45.45172640554546,15.7,Altro,26.35,
1181,PD3714B,RONCAGLIA,H3G,Via Parini  2c  PONTE SAN NICOLO' (PD),11.92398569646654,45.37015279239522,9,Su edificio,17.15,
1187,PD3765B,PONTEVIGODARZERE,H3G,Via Gallani  17  CADONEGHE (PD),11.899804460690572,45.45004322016147,14.8,Su edificio,18.65,
1199,PD3848B,BORGORICCO,H3G,Via Delle Industrie  BORGORICCO (PD),11.96033229860658,45.53525523147579,18.3,Altro,34.35,
1200,PD3860A,INTERPORTO,H3G,Via Della Ricerca Scientifica  PADOVA (PD),11.929410436120822,45.389618855411406,8.7,Su edificio,37.95,
1203,PD3880A,CONCHE,H3G,Via Zenna  CODEVIGO (PD),12.16121043785149,45.23480716628624,1.2,Al Suolo,27.65,
1207,PD3918A,Codevigo,H3G,Via Dell'Artigianato  CODEVIGO (PD),12.09572896250144,45.27166414879451,1.2,Altro,30.65,
1213,PD3931B,Saletto,H3G,Via Arzerello Basso  SALETTO (PD),11.534775104135946,45.222033784418755,10,Altro,32.85,
1215,PD3979B,Carmignano,H3G,Via Monsignore Belluzzo  CARMIGNANO DI BRENTA (PD),11.712431115242143,45.62861098746894,43.1,Al Suolo,32.35,
1218,PD40_def,Bovolenta,TELECOM,Via E.Berto c/o Zona Industriale  BOVOLENTA (PD),11.946720268001226,45.27627601091147,2,Altro,39.85,
